nm, %T
800.000000, 35.148498
799.700000, 35.113227
799.400000, 35.147096
799.100000, 35.179241
798.800000, 35.145446
798.500000, 35.185767
798.200000, 35.266702
797.900000, 35.248234
797.600000, 35.191954
797.300000, 35.106991
797.000000, 35.153465
796.700000, 35.164983
796.400000, 35.213651
796.100000, 35.199902
795.800000, 35.129996
795.500000, 35.103652
795.200000, 35.105297
794.900000, 35.149675
794.600000, 35.149640
794.300000, 35.109573
794.000000, 35.077686
793.700000, 35.062947
793.400000, 35.049216
793.100000, 35.022183
792.800000, 34.987700
792.500000, 34.999977
792.200000, 35.066159
791.900000, 35.052836
791.600000, 35.033496
791.300000, 35.042132
791.000000, 35.116820
790.700000, 35.075614
790.400000, 35.033793
790.100000, 35.012161
789.800000, 35.036045
789.500000, 35.038563
789.200000, 35.031849
788.900000, 34.985763
788.600000, 35.006028
788.300000, 35.011444
788.000000, 35.029242
787.700000, 35.028232
787.400000, 35.032591
787.100000, 35.056837
786.800000, 35.041346
786.500000, 35.008651
786.200000, 35.007412
785.900000, 34.987034
785.600000, 34.930540
785.300000, 34.952698
785.000000, 34.977221
784.700000, 34.946540
784.400000, 34.965235
784.100000, 34.983244
783.800000, 35.023258
783.500000, 34.999631
783.200000, 34.957614
782.900000, 34.933019
782.600000, 34.948087
782.300000, 34.918821
782.000000, 34.945715
781.700000, 34.968983
781.400000, 34.986024
781.100000, 34.935466
780.800000, 34.883462
780.500000, 34.877021
780.200000, 34.911537
779.900000, 34.939465
779.600000, 34.908946
779.300000, 34.901187
779.000000, 34.894040
778.700000, 34.937126
778.400000, 35.000536
778.100000, 35.064976
777.800000, 35.052591
777.500000, 35.020455
777.200000, 35.003563
776.900000, 35.004699
776.600000, 35.039585
776.300000, 35.007292
776.000000, 34.976060
775.700000, 34.969881
775.400000, 34.979045
775.100000, 34.995468
774.800000, 35.015284
774.500000, 35.062731
774.200000, 35.082806
773.900000, 35.087296
773.600000, 35.102603
773.300000, 35.158760
773.000000, 35.222269
772.700000, 35.263744
772.400000, 35.221392
772.100000, 35.163865
771.800000, 35.220866
771.500000, 35.269422
771.200000, 35.222708
770.900000, 35.251632
770.600000, 35.274808
770.300000, 35.270285
770.000000, 35.193759
769.700000, 35.149721
769.400000, 35.143768
769.100000, 35.181251
768.800000, 35.215094
768.500000, 35.196428
768.200000, 35.172695
767.900000, 35.176429
767.600000, 35.194874
767.300000, 35.216173
767.000000, 35.273558
766.700000, 35.291841
766.400000, 35.224917
766.100000, 35.281068
765.800000, 35.358603
765.500000, 35.379841
765.200000, 35.422517
764.900000, 35.444662
764.600000, 35.501533
764.300000, 35.623920
764.000000, 35.636580
763.700000, 35.553658
763.400000, 35.443895
763.100000, 35.436913
762.800000, 35.441709
762.500000, 35.507898
762.200000, 35.513812
761.900000, 35.466468
761.600000, 35.370260
761.300000, 35.322077
761.000000, 35.403241
760.700000, 35.440790
760.400000, 35.414818
760.100000, 35.437011
759.800000, 35.517236
759.500000, 35.569938
759.200000, 35.516165
758.900000, 35.469804
758.600000, 35.509410
758.300000, 35.541092
758.000000, 35.608788
757.700000, 35.726236
757.400000, 35.815280
757.100000, 35.811842
756.800000, 35.770050
756.500000, 35.691339
756.200000, 35.669697
755.900000, 35.765892
755.600000, 35.850425
755.300000, 35.882717
755.000000, 35.870168
754.700000, 35.890221
754.400000, 35.920389
754.100000, 35.972300
753.800000, 36.058814
753.500000, 36.057275
753.200000, 35.959760
752.900000, 35.905741
752.600000, 35.911869
752.300000, 35.932271
752.000000, 35.908758
751.700000, 35.842324
751.400000, 35.801529
751.100000, 35.802256
750.800000, 35.836529
750.500000, 35.849948
750.200000, 35.873789
749.900000, 35.923438
749.600000, 35.926243
749.300000, 35.893341
749.000000, 35.860257
748.700000, 35.846163
748.400000, 35.833342
748.100000, 35.813658
747.800000, 35.800274
747.500000, 35.789561
747.200000, 35.771421
746.900000, 35.762047
746.600000, 35.758557
746.300000, 35.723381
746.000000, 35.706229
745.700000, 35.724333
745.400000, 35.755294
745.100000, 35.742315
744.800000, 35.678068
744.500000, 35.682386
744.200000, 35.754306
743.900000, 35.785756
743.600000, 35.791565
743.300000, 35.770987
743.000000, 35.725563
742.700000, 35.711765
742.400000, 35.732348
742.100000, 35.746288
741.800000, 35.766723
741.500000, 35.814746
741.200000, 35.847322
740.900000, 35.839196
740.600000, 35.854175
740.300000, 35.901172
740.000000, 35.850510
739.700000, 35.791836
739.400000, 35.799996
739.100000, 35.780784
738.800000, 35.755595
738.500000, 35.743036
738.200000, 35.725223
737.900000, 35.707189
737.600000, 35.675611
737.300000, 35.646189
737.000000, 35.643795
736.700000, 35.638625
736.400000, 35.631124
736.100000, 35.632823
735.800000, 35.650866
735.500000, 35.659344
735.200000, 35.661620
734.900000, 35.650954
734.600000, 35.622957
734.300000, 35.621897
734.000000, 35.637909
733.700000, 35.650567
733.400000, 35.652057
733.100000, 35.636042
732.800000, 35.639298
732.500000, 35.664715
732.200000, 35.692352
731.900000, 35.697698
731.600000, 35.696215
731.300000, 35.652932
731.000000, 35.595603
730.700000, 35.586361
730.400000, 35.622041
730.100000, 35.642004
729.800000, 35.614378
729.500000, 35.601134
729.200000, 35.572745
728.900000, 35.558077
728.600000, 35.565218
728.300000, 35.581611
728.000000, 35.560023
727.700000, 35.488452
727.400000, 35.452358
727.100000, 35.465549
726.800000, 35.452705
726.500000, 35.452008
726.200000, 35.468620
725.900000, 35.472268
725.600000, 35.472399
725.300000, 35.439483
725.000000, 35.409325
724.700000, 35.439338
724.400000, 35.478410
724.100000, 35.503535
723.800000, 35.505901
723.500000, 35.490266
723.200000, 35.475199
722.900000, 35.472430
722.600000, 35.487411
722.300000, 35.493411
722.000000, 35.466867
721.700000, 35.450279
721.400000, 35.453445
721.100000, 35.417675
720.800000, 35.402579
720.500000, 35.460085
720.200000, 35.482311
719.900000, 35.494189
719.600000, 35.465587
719.300000, 35.427601
719.000000, 35.426475
718.700000, 35.422288
718.400000, 35.387002
718.100000, 35.345681
717.800000, 35.313157
717.500000, 35.306454
717.200000, 35.320460
716.900000, 35.334045
716.600000, 35.356366
716.300000, 35.355946
716.000000, 35.339107
715.700000, 35.344460
715.400000, 35.355099
715.100000, 35.354133
714.800000, 35.392940
714.500000, 35.417975
714.200000, 35.349021
713.900000, 35.284923
713.600000, 35.292588
713.300000, 35.291819
713.000000, 35.282227
712.700000, 35.300407
712.400000, 35.342336
712.100000, 35.337941
711.800000, 35.312104
711.500000, 35.266633
711.200000, 35.257232
710.900000, 35.278896
710.600000, 35.275088
710.300000, 35.242057
710.000000, 35.180114
709.700000, 35.156619
709.400000, 35.199176
709.100000, 35.210747
708.800000, 35.183108
708.500000, 35.179104
708.200000, 35.186152
707.900000, 35.211799
707.600000, 35.201128
707.300000, 35.200805
707.000000, 35.218691
706.700000, 35.231375
706.400000, 35.213869
706.100000, 35.230320
705.800000, 35.247214
705.500000, 35.263968
705.200000, 35.249709
704.900000, 35.278235
704.600000, 35.287641
704.300000, 35.281059
704.000000, 35.241069
703.700000, 35.233926
703.400000, 35.214707
703.100000, 35.263498
702.800000, 35.243035
702.500000, 35.260272
702.200000, 35.206558
701.900000, 35.159192
701.600000, 35.181996
701.300000, 35.183225
701.000000, 35.198506
700.700000, 35.186726
700.400000, 35.172466
700.100000, 35.196743
699.800000, 35.194786
699.500000, 35.175647
699.200000, 35.185899
698.900000, 35.232199
698.600000, 35.264318
698.300000, 35.262584
698.000000, 35.192317
697.700000, 35.188086
697.400000, 35.180172
697.100000, 35.202626
696.800000, 35.193687
696.500000, 35.189827
696.200000, 35.186288
695.900000, 35.150340
695.600000, 35.150883
695.300000, 35.150126
695.000000, 35.176094
694.700000, 35.177957
694.400000, 35.185056
694.100000, 35.152722
693.800000, 35.154202
693.500000, 35.150163
693.200000, 35.148849
692.900000, 35.148006
692.600000, 35.169181
692.300000, 35.200080
692.000000, 35.180226
691.700000, 35.194791
691.400000, 35.210563
691.100000, 35.235260
690.800000, 35.215593
690.500000, 35.194010
690.200000, 35.112897
689.900000, 35.098545
689.600000, 35.060411
689.300000, 35.050252
689.000000, 35.024217
688.700000, 34.989638
688.400000, 34.914426
688.100000, 34.850344
687.800000, 34.795409
687.500000, 34.760033
687.200000, 34.757827
686.900000, 34.810515
686.600000, 34.860462
686.300000, 34.904021
686.000000, 34.913291
685.700000, 34.959181
685.400000, 34.970207
685.100000, 34.984028
684.800000, 35.001648
684.500000, 34.999745
684.200000, 34.996670
683.900000, 34.975325
683.600000, 34.968435
683.300000, 34.960501
683.000000, 34.915409
682.700000, 34.896799
682.400000, 34.888291
682.100000, 34.865776
681.800000, 34.829069
681.500000, 34.802881
681.200000, 34.809555
680.900000, 34.799295
680.600000, 34.848707
680.300000, 34.855524
680.000000, 34.846294
679.700000, 34.832795
679.400000, 34.833973
679.100000, 34.828375
678.800000, 34.855662
678.500000, 34.895637
678.200000, 34.887188
677.900000, 34.882324
677.600000, 34.857421
677.300000, 34.893766
677.000000, 34.910473
676.700000, 34.911829
676.400000, 34.906845
676.100000, 34.894451
675.800000, 34.877513
675.500000, 34.856980
675.200000, 34.861961
674.900000, 34.879520
674.600000, 34.889915
674.300000, 34.900469
674.000000, 34.876143
673.700000, 34.894353
673.400000, 34.903990
673.100000, 34.908982
672.800000, 34.929440
672.500000, 34.902911
672.200000, 34.871402
671.900000, 34.861032
671.600000, 34.872868
671.300000, 34.899542
671.000000, 34.886659
670.700000, 34.887023
670.400000, 34.899283
670.100000, 34.913395
669.800000, 34.940767
669.500000, 34.956255
669.200000, 34.956515
668.900000, 34.980307
668.600000, 34.967553
668.300000, 34.929593
668.000000, 34.953638
667.700000, 34.985906
667.400000, 34.966744
667.100000, 34.948532
666.800000, 34.971069
666.500000, 34.986308
666.200000, 35.004381
665.900000, 34.978345
665.600000, 34.952519
665.300000, 34.986206
665.000000, 34.996942
664.700000, 34.986324
664.400000, 34.978730
664.100000, 34.995444
663.800000, 34.991351
663.500000, 35.001722
663.200000, 35.000921
662.900000, 35.004115
662.600000, 35.028767
662.300000, 35.044588
662.000000, 35.027443
661.700000, 35.036680
661.400000, 35.052625
661.100000, 35.040627
660.800000, 34.987410
660.500000, 35.000800
660.200000, 34.993263
659.900000, 35.010844
659.600000, 35.031885
659.300000, 35.042070
659.000000, 35.030917
658.700000, 35.054099
658.400000, 35.038667
658.100000, 35.024427
657.800000, 35.043856
657.500000, 35.050006
657.200000, 35.025467
656.900000, 35.053639
656.600000, 35.050129
656.300000, 35.065337
656.000000, 35.075207
655.700000, 35.084209
655.400000, 35.058591
655.100000, 35.030418
654.800000, 35.086651
654.500000, 35.114601
654.200000, 35.044977
653.900000, 35.050207
653.600000, 35.104658
653.300000, 35.120560
653.000000, 35.131053
652.700000, 35.111928
652.400000, 35.133169
652.100000, 35.123299
651.800000, 35.106186
651.500000, 35.094556
651.200000, 35.080213
650.900000, 35.128049
650.600000, 35.120927
650.300000, 35.108682
650.000000, 35.112995
649.700000, 35.128325
649.400000, 35.121359
649.100000, 35.108063
648.800000, 35.094599
648.500000, 35.101501
648.200000, 35.094273
647.900000, 35.132513
647.600000, 35.181044
647.300000, 35.202549
647.000000, 35.224781
646.700000, 35.196737
646.400000, 35.188443
646.100000, 35.174558
645.800000, 35.180042
645.500000, 35.203757
645.200000, 35.229908
644.900000, 35.249634
644.600000, 35.266543
644.300000, 35.242735
644.000000, 35.232480
643.700000, 35.227599
643.400000, 35.236758
643.100000, 35.226821
642.800000, 35.249604
642.500000, 35.266125
642.200000, 35.249697
641.900000, 35.242734
641.600000, 35.250484
641.300000, 35.272521
641.000000, 35.277166
640.700000, 35.263024
640.400000, 35.269094
640.100000, 35.280524
639.800000, 35.276367
639.500000, 35.308922
639.200000, 35.332888
638.900000, 35.330068
638.600000, 35.314946
638.300000, 35.296214
638.000000, 35.288487
637.700000, 35.292803
637.400000, 35.275749
637.100000, 35.263045
636.800000, 35.248168
636.500000, 35.239340
636.200000, 35.267545
635.900000, 35.308640
635.600000, 35.328322
635.300000, 35.351940
635.000000, 35.350632
634.700000, 35.362050
634.400000, 35.378700
634.100000, 35.400290
633.800000, 35.424997
633.500000, 35.432796
633.200000, 35.422034
632.900000, 35.433247
632.600000, 35.459245
632.300000, 35.476592
632.000000, 35.475691
631.700000, 35.458528
631.400000, 35.437676
631.100000, 35.447383
630.800000, 35.449855
630.500000, 35.444301
630.200000, 35.453480
629.900000, 35.444367
629.600000, 35.415149
629.300000, 35.399898
629.000000, 35.413298
628.700000, 35.425864
628.400000, 35.433836
628.100000, 35.447301
627.800000, 35.452615
627.500000, 35.461266
627.200000, 35.456252
626.900000, 35.445623
626.600000, 35.456562
626.300000, 35.467116
626.000000, 35.480063
625.700000, 35.472105
625.400000, 35.483215
625.100000, 35.495452
624.800000, 35.513167
624.500000, 35.507799
624.200000, 35.495354
623.900000, 35.510907
623.600000, 35.512187
623.300000, 35.501828
623.000000, 35.510305
622.700000, 35.517817
622.400000, 35.494964
622.100000, 35.475584
621.800000, 35.496199
621.500000, 35.517844
621.200000, 35.533255
620.900000, 35.542550
620.600000, 35.555715
620.300000, 35.569159
620.000000, 35.553924
619.700000, 35.551285
619.400000, 35.564026
619.100000, 35.591170
618.800000, 35.586396
618.500000, 35.581152
618.200000, 35.600895
617.900000, 35.594750
617.600000, 35.589625
617.300000, 35.611897
617.000000, 35.644854
616.700000, 35.676226
616.400000, 35.662214
616.100000, 35.611000
615.800000, 35.601402
615.500000, 35.627446
615.200000, 35.650091
614.900000, 35.651953
614.600000, 35.644206
614.300000, 35.639216
614.000000, 35.633064
613.700000, 35.633334
613.400000, 35.635946
613.100000, 35.640207
612.800000, 35.622048
612.500000, 35.591285
612.200000, 35.601315
611.900000, 35.623803
611.600000, 35.643568
611.300000, 35.657551
611.000000, 35.664508
610.700000, 35.684253
610.400000, 35.703483
610.100000, 35.714671
609.800000, 35.680371
609.500000, 35.646280
609.200000, 35.655847
608.900000, 35.689106
608.600000, 35.725285
608.300000, 35.777066
608.000000, 35.811235
607.700000, 35.790966
607.400000, 35.757064
607.100000, 35.757571
606.800000, 35.751118
606.500000, 35.757510
606.200000, 35.763293
605.900000, 35.742242
605.600000, 35.750856
605.300000, 35.762000
605.000000, 35.765471
604.700000, 35.776653
604.400000, 35.776599
604.100000, 35.765059
603.800000, 35.753816
603.500000, 35.751698
603.200000, 35.733304
602.900000, 35.743874
602.600000, 35.755143
602.300000, 35.760583
602.000000, 35.773990
601.700000, 35.781578
601.400000, 35.769913
601.100000, 35.758333
600.800000, 35.772749
600.500000, 35.794749
600.200000, 35.801995
599.900000, 35.821802
599.600000, 35.805208
599.300000, 35.780021
599.000000, 35.758373
598.700000, 35.763787
598.400000, 35.784839
598.100000, 35.806860
597.800000, 35.819337
597.500000, 35.842078
597.200000, 35.846967
596.900000, 35.840488
596.600000, 35.831890
596.300000, 35.820174
596.000000, 35.817282
595.700000, 35.849492
595.400000, 35.880579
595.100000, 35.902601
594.800000, 35.918118
594.500000, 35.921437
594.200000, 35.922564
593.900000, 35.902482
593.600000, 35.895348
593.300000, 35.867367
593.000000, 35.869556
592.700000, 35.886754
592.400000, 35.884590
592.100000, 35.887789
591.800000, 35.915305
591.500000, 35.920640
591.200000, 35.908546
590.900000, 35.921371
590.600000, 35.927067
590.300000, 35.923294
590.000000, 35.921514
589.700000, 35.943886
589.400000, 35.967584
589.100000, 35.981197
588.800000, 35.983020
588.500000, 35.980708
588.200000, 35.966447
587.900000, 35.959949
587.600000, 35.946697
587.300000, 35.938078
587.000000, 35.932217
586.700000, 35.906127
586.400000, 35.927333
586.100000, 35.931947
585.800000, 35.939943
585.500000, 35.972350
585.200000, 35.960551
584.900000, 35.973532
584.600000, 36.005201
584.300000, 35.978572
584.000000, 35.958175
583.700000, 35.970999
583.400000, 35.964814
583.100000, 35.996083
582.800000, 36.031089
582.500000, 36.042825
582.200000, 36.056472
581.900000, 36.048778
581.600000, 36.055647
581.300000, 36.034115
581.000000, 36.022468
580.700000, 36.045970
580.400000, 36.047481
580.100000, 36.065371
579.800000, 36.089061
579.500000, 36.085338
579.200000, 36.123304
578.900000, 36.132373
578.600000, 36.121545
578.300000, 36.083090
578.000000, 36.044481
577.700000, 36.035464
577.400000, 36.012979
577.100000, 36.017119
576.800000, 36.027330
576.500000, 36.069216
576.200000, 36.057043
575.900000, 36.050598
575.600000, 36.047682
575.300000, 36.046799
575.000000, 36.072163
574.700000, 36.062761
574.400000, 36.057931
574.100000, 36.084382
573.800000, 36.089379
573.500000, 36.093632
573.200000, 36.102094
572.900000, 36.103209
572.600000, 36.089604
572.300000, 36.061290
572.000000, 36.065964
571.700000, 36.088799
571.400000, 36.085212
571.100000, 36.103439
570.800000, 36.113118
570.500000, 36.116418
570.200000, 36.120515
569.900000, 36.144166
569.600000, 36.148315
569.300000, 36.169562
569.000000, 36.218431
568.700000, 36.214552
568.400000, 36.211433
568.100000, 36.192882
567.800000, 36.195043
567.500000, 36.202327
567.200000, 36.183372
566.900000, 36.171812
566.600000, 36.188465
566.300000, 36.217942
566.000000, 36.235675
565.700000, 36.241584
565.400000, 36.236287
565.100000, 36.263598
564.800000, 36.285426
564.500000, 36.288039
564.200000, 36.302556
563.900000, 36.289416
563.600000, 36.268749
563.300000, 36.287849
563.000000, 36.291164
562.700000, 36.295353
562.400000, 36.205284
562.100000, 36.182291
561.800000, 36.191423
561.500000, 36.206794
561.200000, 36.175468
560.900000, 36.188083
560.600000, 36.184011
560.300000, 36.250245
560.000000, 36.264149
559.700000, 36.251430
559.400000, 36.240237
559.100000, 36.226106
558.800000, 36.234976
558.500000, 36.249967
558.200000, 36.258090
557.900000, 36.276479
557.600000, 36.323333
557.300000, 36.308592
557.000000, 36.296326
556.700000, 36.318391
556.400000, 36.360323
556.100000, 36.356298
555.800000, 36.323008
555.500000, 36.335168
555.200000, 36.330552
554.900000, 36.360109
554.600000, 36.392715
554.300000, 36.401651
554.000000, 36.356933
553.700000, 36.347256
553.400000, 36.277154
553.100000, 36.328991
552.800000, 36.319775
552.500000, 36.375720
552.200000, 36.398600
551.900000, 36.378799
551.600000, 36.400369
551.300000, 36.357295
551.000000, 36.372096
550.700000, 36.357616
550.400000, 36.367102
550.100000, 36.367843
549.800000, 36.370203
549.500000, 36.370931
549.200000, 36.380665
548.900000, 36.421546
548.600000, 36.422933
548.300000, 36.439702
548.000000, 36.419326
547.700000, 36.462331
547.400000, 36.476952
547.100000, 36.512933
546.800000, 36.511870
546.500000, 36.525047
546.200000, 36.498149
545.900000, 36.488123
545.600000, 36.512233
545.300000, 36.519309
545.000000, 36.498092
544.700000, 36.486685
544.400000, 36.510816
544.100000, 36.494376
543.800000, 36.446531
543.500000, 36.474061
543.200000, 36.503078
542.900000, 36.516420
542.600000, 36.491235
542.300000, 36.463756
542.000000, 36.444478
